motif	region	region.gc	region.avgid	RNAphylo	RNAphylo.fdr	hmmpair	no.seq	alignment.len	avgid	no.bps	fraction.paired	expected.covary	observed.covary	alignment.power	fraction.covarying
K00008_upstream.h1_2	K00008_upstream	(0.4,0.44]	(46,54]	34.57	1.1764705882352942	0	16	51	52.12	18	70.58823529411765	3.9	5	21.666666666666668	27.77777777777778
K00012_upstream.h1_3	K00012_upstream	(0.36,0.4]	(54,63]	6.73	10	1.24106	13	48	53.78	18	75	2.9	2	16.11111111111111	11.11111111111111
K00031_upstream.h2_3.h2_5	K00031_upstream	(0.4,0.44]	(46,54]	7.49	4.705882352941177	1.73679e-4	39	122	74.7	11	18.0327868852459	1.2	1	10.909090909090908	9.090909090909092
K00031_upstream.h2_4	K00031_upstream	(0.4,0.44]	(46,54]	9.13	4.705882352941177	0.899899	21	68	77.37	21	61.76470588235294	1	0	4.761904761904762	0
K00036_downstream.h1_1	K00036_downstream	(0.36,0.4]	(54,63]	19.51	10	0	38	54	58.99	13	48.148148148148145	3.4	7	26.153846153846157	53.84615384615385
K00036_upstream.h1_1	K00036_upstream	(0.4,0.44]	(54,63]	47.69	3.3333333333333335	3.55663	18	53	50.22	17	64.15094339622641	3.5	6	20.588235294117645	35.294117647058826
K00075_upstream.h2_1	K00075_upstream	(0.36,0.4]	(54,63]	41.54	10	1.97164	33	69	58.81	7	20.28985507246377	1	1	14.285714285714285	14.285714285714285
K00133_upstream.h1_3	K00133_upstream	(0.4,0.44]	(41,46]	20.48	1.4084507042253522	0	42	50	66.18	5	20	0.1	0	2	0
K00133_upstream.h2_1	K00133_upstream	(0.4,0.44]	(41,46]	8.65	8.450704225352114	0.365853	19	51	86.06	11	43.13725490196079	0.3	0	2.727272727272727	0
K00133_upstream.h2_2	K00133_upstream	(0.4,0.44]	(41,46]	19.14	1.4084507042253522	0	22	69	66.78	12	34.78260869565217	1.7	2	14.166666666666666	16.666666666666664
K00133_upstream.h2_5	K00133_upstream	(0.4,0.44]	(41,46]	13.78	1.4084507042253522	0.493702	19	78	85.61	16	41.02564102564102	0.5	0	3.125	0
K00145_upstream.h1_5.h2_4.h2_1.h1_1	K00145_upstream	(0.4,0.44]	(46,54]	118.55	1.1764705882352942	0.00132649	28	171	85.3	28	32.748538011695906	1.4	0	5	0
K00147_upstream.h1_1	K00147_upstream	(0.4,0.44]	(54,63]	26.34	6.666666666666667	2.14469	7	33	57.96	9	54.54545454545454	0.5	2	5.555555555555555	22.22222222222222
